[1] general-provisions
[2] separation-and-accountability
[3] permission
[4] system-responsibility
[5] closed-security
[6] sovereignty
[7] amendment-and-protection
[8] interpretation-and-conflict
[9] directory-special-law
[10] 琍坚-chinese-codex-confidentiality-special-law
[11] permission-identity-special-law
[12] information-communication-special-law
[13] runtime-lifecycle-fault-isolation-special-law
[14] data-authority-storage-rag-special-law
[15] model-resource-gpu-special-law
[16] language-source-native-boundary-special-law
[17] version-release-hot-update-rollback-special-law
[18] third-party-network-supply-chain-special-law
[19] audit-evidence-timestamp-retention-special-law
[20] ui-window-projection-synchronization-special-law
[21] git-worktree-special-law
[22] learning-system-special-law
[23] automatic-maintenance-repair-special-law
[24] privacy-personal-data-special-law
[25] cryptography-key-management-special-law
[26] disaster-recovery-continuity-special-law
[27] test-validation-evaluation-special-law
[28] startup-control-special-law
[29] independent-tool-lifecycle-isolation-special-law
[30] identity-group-membership-and-authority-special-law
[31] top-level-directory-path-special-law
[32] mandatory-implementation-obligation-special-law
[33] anti-jailbreak-special-law
[34] system-reliability-performance-repair-isolation-special-law

--- articles: 379
A1 | sec=1 | governance-rule
A121 | sec=5 | security-boundary-enforcement
A122 | sec=8 | codex-interpretation-hierarchy
A123 | sec=6 | system-learning-sovereign
A124 | sec=6 | system-programming-sovereign
A125 | sec=6 | maintenance-sovereign-focused-duty
A126 | sec=6 | system-sovereign-dual-division
A127 | sec=7 | sovereign-rank-and-view-alignment
A128 | sec=6 | adaptive-sovereign-responsibility-map
A130 | sec=6 | adaptive-sub-sovereign-topology
A131 | sec=6 | sub-sovereign-capability-ceiling
A132 | sec=11 | registered-sovereign-codex-view-allowlist
A134 | sec=6 | permission-sovereign-independent-special-status
A137 | sec=6 | 琍坚-review-isolation
A138 | sec=6 | 琍坚-review-thinking
A139 | sec=6 | 琍坚-review-power
A140 | sec=6 | 琍坚-information-interface
A141 | sec=6 | 琍坚-review-model-modes
A144 | sec=11 | codex-view-exclusive-audience
A145 | sec=6 | 琍坚-auxiliary-system-duty
A146 | sec=6 | converged-system-status
A148 | sec=6 | canonical-sovereign-folder-name
A149 | sec=6 | platform-management-owner
A150 | sec=6 | decision-boundary
A151 | sec=6 | tool-and-platform-service-ownership
A152 | sec=6 | frontend-backend-recovery-boundary
A154 | sec=6 | repair-responsibility-chain
A155 | sec=6 | explicit-sovereign-prohibitions
A156 | sec=6 | 琍坚-grouped-authority
A157 | sec=10 | unsigned-version-effect
A158 | sec=6 | physical-folder-exceptions
A159 | sec=6 | architecture-alignment-verification
A160 | sec=10 | sovereign-identity-namespace
A161 | sec=6 | entity-classification-authority
A163 | sec=6 | multi-worker-automatic-git-delivery
A165 | sec=6 | code-replication-prohibition
A166 | sec=6 | code-extraction-prohibition
A170 | sec=6 | automatic-system-health-preservation
A173 | sec=1 | single-codex-with-琍坚-only-Chinese-exception
A174 | sec=7 | permission-managed-official-and-琍坚-Chinese-view
A175 | sec=6 | hot-update-hot-reload-release-certification
A176 | sec=6 | frontend-backend-connection-fault-tolerance
A177 | sec=4 | universal-information-layer-connection-exclusivity
A178 | sec=6 | system-runtime-stability
A181 | sec=6 | certified-hot-update-persistence-and-reset-prevention
A182 | sec=6 | version-authority-and-repair-reset-prohibition
A184 | sec=4 | reciprocal-main-system-independent-tool-runtime-isolation
A185 | sec=4 | source-size-and-permission-managed-directory-control
A186 | sec=4 | layered-information-system-and-tiered-view-access
A187 | sec=6 | separated-sovereign-validation-chain
A188 | sec=6 | sovereign-collaboration-and-information-layer-handoff
A189 | sec=4 | 琍坚-exclusive-auxiliary-information-channel
A191 | sec=4 | startup-dependency-classification-and-legacy-order-retirement
A192 | sec=4 | optimized-startup-sovereign-responsibility
A193 | sec=4 | official-startup-entry-and-ui-launcher
A194 | sec=4 | startup-readiness-handoff-and-lifecycle-finality
A195 | sec=4 | backend-state-to-frontend-projection-synchronization
A196 | sec=4 | stable-single-window-process-per-application-session
A197 | sec=6 | third-party-sovereign-optimized-responsibility
A198 | sec=4 | local-code-and-third-party-dependency-boundary
A199 | sec=4 | ten-second-complete-startup-deadline
A200 | sec=4 | global-timestamp-propagation
A201 | sec=4 | absolute-gptbridge-code-root-containment
A202 | sec=4 | absolute-environment-dependency-root
A203 | sec=4 | python-cpp-responsibility-boundary
A204 | sec=4 | single-versioned-c-abi
A205 | sec=4 | fixed-typescript-python-api-boundary
A206 | sec=4 | csharp-windows-function-deduplication
A207 | sec=4 | sql-query-pushdown
A208 | sec=4 | automatic-six-language-governance-check
A209 | sec=4 | six-language-file-conventions
A210 | sec=4 | six-language-test-boundary
A211 | sec=4 | canonical-six-language-role-map
A212 | sec=4 | fixed-python-native-performance-mainline
A213 | sec=4 | converged-c-and-pybind11-native-boundaries
A214 | sec=4 | cpp-performance-core-six-domain-decomposition
A215 | sec=4 | exclusive-six-language-source-extension-map
A216 | sec=11 | sql-first-data-reduction-python-semantic-business-boundary
A217 | sec=4 | python-native-csharp-windows-dotnet-boundary
A218 | sec=4 | python-api-load-classification-and-native-dispatch
A219 | sec=4 | python-api-native-unavailability-fallback
A220 | sec=4 | c-interface-cpp-implementation-separation
A221 | sec=4 | canonical-native-physical-tree
A222 | sec=9 | canonical-command-naming
A223 | sec=9 | permission-sovereign-owned-canonical-fault-code-directory
A224 | sec=9 | permission-sovereign-owned-canonical-command-code-directory
A225 | sec=9 | permission-sovereign-owned-canonical-maintenance-manual-directory
A226 | sec=9 | permission-sovereign-owned-canonical-test-flow-directory
A227 | sec=9 | permission-sovereign-owned-canonical-project-architecture-directory
A228 | sec=9 | directory-special-law-exclusive-ownership
A229 | sec=7 | codex-three-tier-consolidation-framework
A230 | sec=1 | main-codex-outline-boundary
A231 | sec=9 | directory-special-law-gap-closure-and-implementation-acceptance
A232 | sec=9 | complete-governed-directory-domain-set
A233 | sec=9 | content-adaptive-unified-directory-and-requirement-format
A234 | sec=10 | 琍坚-exclusive-confidential-chinese-codex-exception
A235 | sec=11 | permission-identity-special-law
A236 | sec=12 | information-communication-special-law
A237 | sec=13 | runtime-lifecycle-fault-isolation-special-law
A238 | sec=14 | data-authority-storage-rag-special-law
A239 | sec=15 | model-resource-gpu-special-law
A240 | sec=16 | language-source-native-boundary-special-law
A241 | sec=17 | version-release-hot-update-rollback-special-law
A242 | sec=18 | third-party-network-supply-chain-special-law
A243 | sec=19 | audit-evidence-timestamp-retention-special-law
A244 | sec=20 | ui-window-projection-synchronization-special-law
A245 | sec=21 | git-worktree-special-law
A246 | sec=22 | learning-system-special-law
A247 | sec=23 | automatic-maintenance-repair-special-law
A248 | sec=24 | privacy-personal-data-special-law
A249 | sec=25 | cryptography-key-management-special-law
A250 | sec=26 | disaster-recovery-continuity-special-law
A251 | sec=27 | test-validation-evaluation-special-law
A252 | sec=7 | codex-consolidation-conflict-normalization-and-confidentiality-closure
A253 | sec=7 | special-law-lifecycle-activation-and-external-closure
A254 | sec=12 | channel-continuity-and-disconnection-elimination-special-law
A255 | sec=18 | ten-second-total-startup-control-special-law
A256 | sec=17 | live-backend-code-change-continuity-special-law
A257 | sec=12 | reconnect-with-zero-automatic-code-overwrite-special-law
A258 | sec=12 | automatic-repair-preservation-and-no-overwrite-special-law
A259 | sec=1 | whole-codex-repair-and-continuity-integration
A260 | sec=11 | 琍坚-read-only-view-of-permission-sovereign-directories-special-law
A261 | sec=23 | automatic-repair-preservation-special-law
A262 | sec=17 | update-and-reload-special-law
A263 | sec=12 | channel-stability-and-reconnect-special-law
A264 | sec=16 | programming-language-boundary-special-law
A265 | sec=28 | startup-control-special-law
A266 | sec=29 | independent-tool-lifecycle-isolation-special-law
A267 | sec=30 | identity-group-special-law
A268 | sec=9 | directory-codename-reference-and-environment-indirection-special-law
A269 | sec=9 | global-fault-code-reference-and-no-hardcoded-error-special-law
A270 | sec=9 | directory-coverage-and-special-law-convergence
A271 | sec=27 | coverage-test-and-special-law-conflict-closure
A272 | sec=27 | exact-code-trace-and-activation-evidence-closure
A273 | sec=27 | complete-global-registry-traceability-and-routing
A274 | sec=9 | complete-command-contract-and-sovereign-effectivity-closure
A275 | sec=27 | complete-seal-timestamp-trust-and-component-evidence
A276 | sec=9 | main-system-platform-core-physical-directory-classification
A277 | sec=9 | model-dialogue-local-model-top-level-directory-classification
A278 | sec=9 | standalone-tools-top-level-directory-classification
A279 | sec=9 | governance-codex-codex-directory-classification
A280 | sec=9 | canonical-top-level-directory-integration-and-system-tool-convergence
A281 | sec=9 | git-top-level-directory-classification
A282 | sec=9 | launcher-convergence-into-main-system
A283 | sec=9 | shared-layer-convergence-into-main-system
A284 | sec=4 | gptbridge-canonical-layered-project-architecture
A285 | sec=1 | human-governor-manual-version-baseline-reset
A286 | sec=1 | version-epoch-identity-and-natural-evolution
A287 | sec=4 | decision-sovereign-and-sub-sovereign-boundary
A288 | sec=4 | architecture-catalog-state-and-boundary-model
A289 | sec=4 | permission-owned-module-test-suite-architecture-directory
A290 | sec=31 | top-level-directory-path-special-law
A291 | sec=1 | mandatory-declaration-and-implementation-force
A292 | sec=32 | mandatory-implementation-obligation-special-law
A293 | sec=33 | anti-jailbreak-and-instruction-provenance-special-law
A294 | sec=34 | system-stability-fault-reduction-self-repair-speed-and-isolation-special-law
A295 | sec=10 | 琍坚-audit-inspection-capability-strengthening
A296 | sec=12 | noninterrupting-channel-anomaly-isolation
A297 | sec=4 | top-level-sovereign-decision-only-boundary
A298 | sec=1 | governance-authority-canonical-name-renamed-to-codex
A299 | sec=4 | system-decision-sovereign-renamed-to-decision-sovereign
A300 | sec=4 | system-runtime-sovereign-renamed-to-runtime-sovereign
A301 | sec=4 | synchronization-sovereign
A302 | sec=4 | maintenance-sovereign-demoted-under-decision-sovereign
A303 | sec=4 | startup-sovereign-demoted-under-runtime-sovereign
A304 | sec=4 | data-sovereign-demoted-under-decision-sovereign
A305 | sec=4 | resource-sovereign-demoted-under-synchronization-sovereign
A306 | sec=4 | integration-sovereign-demoted-under-synchronization-sovereign
A307 | sec=4 | third-party-sovereign-demoted-under-synchronization-sovereign
A308 | sec=4 | language-review-sovereign-demoted-under-permission-sovereign
A309 | sec=4 | system-programming-sovereign-demoted-under-synchronization-sovereign
A310 | sec=4 | learning-system-sovereign-demoted-under-synchronization-sovereign
A311 | sec=10 | 琍坚-renamed-琍坚-chinese-and-elevated-independent-privileged-institution
A312 | sec=11 | permission-sovereign-authority-converged-to-permission-review-only
A313 | sec=11 | permission-review-authority-transferred-to-琍坚
A314 | sec=34 | automatic-cleanup-backup-repair-update-converged-under-synchronization-sovereign
A315 | sec=4 | complete-sub-sovereign-parent-reallocation
A316 | sec=4 | directory-sub-sovereign-under-permission-sovereign
A317 | sec=4 | identity-group-sub-sovereign-under-permission-sovereign
A318 | sec=4 | decision-runtime-synchronization-sovereign-exclusive-boundaries
A319 | sec=11 | permission-sovereign-and-琍坚-independent-privileged-institution-boundary
A320 | sec=1 | governance-authority-fully-renamed-to-codex
A321 | sec=10 | 琍坚-canonical-identity-full-renaming
A322 | sec=4 | synchronization-sovereign-integrated-duty-and-child-split
A323 | sec=4 | decision-sovereign-child-reallocation
A324 | sec=4 | sub-sovereign-three-duty-maximum
A325 | sec=4 | capability-based-module-to-sub-sovereign-reallocation
A326 | sec=12 | information-layer-permission-and-channel-operation-boundary
A327 | sec=4 | canonical-human-name-and-machine-domain-alias-boundary
A328 | sec=10 | xingcheng-free-entry-and-exit-privilege
A329 | sec=17 | backend-code-update-synchronization-sovereign-privilege
A330 | sec=17 | synchronization-sovereign-global-update-execution-and-convergence
A331 | sec=17 | whole-codex-integrity-and-gap-closure-special-law
A332 | sec=17 | legacy-authority-reference-resolution-special-law
A333 | sec=17 | physical-architecture-parent-and-path-convergence-special-law
A334 | sec=17 | machine-readable-sovereign-hierarchy-module-assignment-and-signature-special-law
A335 | sec=17 | codex-directory-closure-certification-and-non-indexing-special-law
A336 | sec=6 | xingcheng-native-programming-language-review-and-system-automation-executor-special-law
A337 | sec=6 | xingcheng-whole-system-parallel-automatic-operation-special-law
A338 | sec=16 | exact-language-statistics-and-powershell-governed-script-exception-special-law
A339 | sec=16 | canonical-pybind11-c-api-c-thunk-cpp-path-and-logical-domain-map
A340 | sec=16 | cross-language-boundary-release-hard-gate
A341 | sec=16 | exclusive-language-capability-owner-and-caller-matrix
A342 | sec=16 | canonical-python-application-domain-infrastructure-architecture
A343 | sec=16 | correctness-first-python-first-native-promotion-record-special-law
A344 | sec=16 | single-c-abi-contract-and-pybind11-purpose-separation-special-law
A345 | sec=16 | minimal-c-abi-function-budget-and-deferred-capability-table-special-law
A346 | sec=16 | cpp-six-domain-namespace-and-include-dependency-special-law
A347 | sec=16 | language-role-directory-query-budget-and-source-origin-special-law
A348 | sec=16 | language-boundary-gate-and-data-only-policy-evidence-only-checker-special-law
A349 | sec=16 | powershell-governance-conflict-and-legacy-infrastructure-evidence-special-law
A350 | sec=16 | canonical-typescript-python-sql-native-csharp-topology-special-law
A351 | sec=16 | cross-language-allowed-use-and-direct-prohibition-matrix
A352 | sec=16 | explicit-language-and-native-dependency-fail-matrix
A353 | sec=16 | semantic-dependency-evidence-and-a205-information-layer-verification
A354 | sec=16 | typescript-governance-checker-structure-and-dependency-dag-evidence-special-law
A355 | sec=16 | contract-parity-gate
A356 | sec=16 | unique-capability-registry-and-ownership-role-model
A357 | sec=16 | native-promotion-gate
A358 | sec=16 | native-promotion-budget-benchmark-evidence-and-lifecycle
A359 | sec=16 | build-abi-toolchain-artifact-reproducibility-gate
A360 | sec=16 | release-compatibility-evidence-aggregation-and-upgrade-gate
A361 | sec=16 | language-governance-final-decision-and-evidence-freshness-gate
A362 | sec=16 | unified-language-source-index-graph-ir-and-incremental-planner
A363 | sec=16 | governance-full-scan-baseline-incremental-golden-parity-and-cache-correctness
A364 | sec=16 | language-governance-schema-v1-stability-freeze-and-regression-corpus
A365 | sec=12 | cross-store-reconciliation-global-resource-id-transport-audit-and-recovery-priority
A366 | sec=11 | xingcheng-auxiliary-repair-update-user-switch-confirmation-and-fault-cardinality
A367 | sec=12 | mandatory-cross-store-data-governance-stage-order
A368 | sec=12 | database-runtime-pool-query-schema-health-and-cross-engine-integrity
A369 | sec=12 | unified-observable-verifiable-recoverable-local-data-platform
A370 | sec=12 | three-engine-self-observation-diagnosis-and-controlled-optimization
A371 | sec=12 | qdrant-default-rag-execution-reembedding-reconciliation-and-four-rag-behaviors
A372 | sec=12 | mandatory-local-rag-six-stage-implementation-order
A373 | sec=12 | canonical-rag-takeover-reconciliation-queue-double-write-and-evaluation
A374 | sec=12 | rag-index-state-reconciliation-collection-topology-and-reranker-fallback
A375 | sec=13 | governed-multi-ai-git-coordination-and-delivery-infrastructure
A376 | sec=3 | codex-non-sovereign-xingcheng-model-dialogue-and-information-layer-boundaries
A377 | sec=1 | whole-codex-integration-precedence-lifecycle-and-coherence-closure
A378 | sec=17 | xingcheng-consolidated-special-law
A379 | sec=15 | codex-directory-closure-certification-and-non-indexing-clean-successor
A380 | sec=17 | xingcheng-auxiliary-manual-repair-update-release-switches
A381 | sec=1 | codex-roster-lifecycle-and-scoped-successor-closure
A382 | sec=16 | non-disruptive-codex-amendment-ordinance-flow
A383 | sec=16 | codex-readonly-state-review-isolation
A384 | sec=1 | test-management-roster-and-historical-correction-closure
A385 | sec=1 | dynamic-test-management-roster-and-closure-status-successor
A386 | sec=1 | dynamic-governance-code-resolution-and-hardcoding-elimination
A387 | sec=1 | codex-canonical-reference-code-only-policy
A388 | sec=1 | governed-environment-variable-binding-fallback
A389 | sec=1 | timestamp-only-hardcoding-invariant
A390 | sec=3 | permission-sovereign-formal-audit-validation-authority
A391 | sec=1 | canonical-timestamp-envelope-fields
A392 | sec=17 | xingcheng-codex-implementation-compliance-classification
A393 | sec=17 | precise-coded-fault-and-compliance-detail-display
A394 | sec=1 | code-reference-and-hardcoding-separation-successor
A395 | sec=1 | canonical-version-number-contract
A396 | sec=23 | automatic-repair-and-update-command-code-registration
A397 | sec=1 | canonical-timestamp-envelope-successor
A398 | sec=23 | automatic-repair-update-command-contract-successor
A399 | sec=1 | timestamp-version-cross-codex-separation-interpretation
A400 | sec=1 | whole-system-modular-architecture
A401 | sec=1 | module-code-and-identity-group-itemization
A402 | sec=1 | modular-field-scoped-refresh-no-whole-ui-refresh
A403 | sec=1 | module-fault-isolation-and-main-system-liveness
A404 | sec=1 | modular-automation-and-automation-isolation
A405 | sec=1 | independent-tool-single-instance-entity
A406 | sec=1 | timestamp-derived-version-identity-successor
A407 | sec=1 | timestamp-version-separation-interpretation-successor
A408 | sec=23 | automatic-command-contract-timestamp-version-successor
A409 | sec=1 | dynamic-reference-policy-timestamp-version-successor
A410 | sec=1 | canonical-evidence-timestamp-envelope-successor
A411 | sec=1 | timestamp-version-issuance-and-collision-successor
A412 | sec=1 | timestamp-version-change-classification-successor
A413 | sec=1 | timestamp-version-ledger-and-recovery-integrity
A414 | sec=1 | user-authorized-history-deletion-successor
A415 | sec=1 | active-successor-reference-and-legacy-binding-closure
A416 | sec=1 | typed-complete-successor-resolution-successor
A417 | sec=1 | codex-internal-modular-architecture
A418 | sec=1 | codex-indexed-search-performance-special-law
A419 | sec=1 | codex-internal-module-manifest-and-seal
A420 | sec=1 | codex-search-index-freshness-and-query-plan-gate
A421 | sec=1 | codex-module-lifecycle-count-and-orphan-identity-closure
A422 | sec=1 | codex-module-and-search-manifest-complete-binding
A423 | sec=1 | codex-search-physical-index-and-dependency-dag-evidence
A424 | sec=9 | codex-internal-module-directory-uniform-format-successor
A425 | sec=1 | whole-system-recursive-modular-architecture
A426 | sec=4 | universal-module-source-line-limit
A427 | sec=4 | mandatory-module-self-decomposition
A428 | sec=4 | bounded-self-decomposition-orchestration-and-evidence-closure
A429 | sec=4 | module-self-decomposition-command-state-and-exception-closure
A430 | sec=4 | source-line-evidence-and-self-decomposition-directory-special-law
A431 | sec=4 | module-line-count-registry-special-law
A432 | sec=4 | module-line-count-roster-normalized-counting-and-aggregation
A433 | sec=4 | authored-source-inventory-and-line-roster-completeness
A434 | sec=4 | module-line-roster-ownership-cohesion-and-fragmentation-gate
