provision_id,subject,section,primary_dimension,kind,owning_unit,owners,delegation_note
A2,function,general-provisions,資料/SQL,mixed,codex-retained,decision,"delegate business content, retain governance shell"
A20,星澄-power,sovereignty,治理/權責,governance,codex-retained,,retain in codex (governance/boundary)
A200,global-timestamp-propagation,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,decision;permission,"delegate business content, retain governance shell"
A201,absolute-gptbridge-code-root-containment,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,decision;permission;permission-sovereign;release-update-sync-sub-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A202,absolute-environment-dependency-root,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,decision;dependency-sync-sub-sovereign;permission,"delegate business content, retain governance shell"
A203,python-cpp-responsibility-boundary,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,decision;permission,"delegate business content, retain governance shell"
A204,single-versioned-c-abi,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A205,fixed-typescript-python-api-boundary,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,permission,"delegate business content, retain governance shell"
A206,csharp-windows-function-deduplication,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,decision;permission,"delegate business content, retain governance shell"
A207,sql-query-pushdown,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,decision,"delegate business content, retain governance shell"
A208,automatic-six-language-governance-check,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,automation;permission;permission-sovereign,"delegate business content, retain governance shell"
A209,six-language-file-conventions,system-responsibility,資料/SQL,business,UNIT_RUNTIME,,"delegate to owning unit domain (successor, retain reference only)"
A210,six-language-test-boundary,system-responsibility,資料/SQL,business,UNIT_RUNTIME,,"delegate to owning unit domain (successor, retain reference only)"
A211,canonical-six-language-role-map,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A212,fixed-python-native-performance-mainline,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A213,converged-c-and-pybind11-native-boundaries,system-responsibility,安全與稽核,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A214,cpp-performance-core-six-domain-decomposition,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A215,exclusive-six-language-source-extension-map,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A216,sql-first-data-reduction-python-semantic-business-boundary,permission-identity-special-law,時限/預算,mixed,UNIT_PERMISSION,decision,"delegate business content, retain governance shell"
A217,python-native-csharp-windows-dotnet-boundary,system-responsibility,工程實作要求,mixed,UNIT_RUNTIME,decision,"delegate business content, retain governance shell"
A218,python-api-load-classification-and-native-dispatch,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A219,python-api-native-unavailability-fallback,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A22,permission-termination,permission,治理/權責,governance,codex-retained,permission;permission-sovereign,retain in codex (governance/boundary)
A220,c-interface-cpp-implementation-separation,system-responsibility,資料/SQL,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A221,canonical-native-physical-tree,system-responsibility,時限/預算,mixed,UNIT_RUNTIME,,"delegate business content, retain governance shell"
A222,canonical-command-naming,directory-special-law,資料/SQL,mixed,UNIT_PERMISSION,,"delegate business content, retain governance shell"
A223,permission-sovereign-owned-canonical-fault-code-directory,directory-special-law,安全與稽核,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A224,permission-sovereign-owned-canonical-command-code-directory,directory-special-law,時限/預算,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A225,permission-sovereign-owned-canonical-maintenance-manual-directory,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A226,permission-sovereign-owned-canonical-test-flow-directory,directory-special-law,時限/預算,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A227,permission-sovereign-owned-canonical-project-architecture-directory,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A228,directory-special-law-exclusive-ownership,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,any-other-sovereign;data-governance-sub-sovereign;decision;directory-write-without-permission-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A229,codex-three-tier-consolidation-framework,amendment-and-protection,模型/推論,mixed,codex-retained,,"delegate business content, retain governance shell"
A23,permission-identifiers,permission,工程實作要求,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A230,main-codex-outline-boundary,general-provisions,時限/預算,mixed,codex-retained,permission,"delegate business content, retain governance shell"
A231,directory-special-law-gap-closure-and-implementation-acceptance,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,,"delegate business content, retain governance shell"
A232,complete-governed-directory-domain-set,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,directory-owned-by-other-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A233,content-adaptive-unified-directory-and-requirement-format,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A234,星澄-exclusive-confidential-chinese-codex-exception,星澄-chinese-codex-confidentiality-special-law,時限/預算,mixed,UNIT_ASSISTANT,permission;permission-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A235,permission-identity-special-law,permission-identity-special-law,資料/SQL,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A236,information-communication-special-law,information-communication-special-law,資料/SQL,mixed,UNIT_PLATFORM,automation;automation-sovereign;channel-contract-sync-sub-sovereign;decision;permission;permission-sovereign,"delegate business content, retain governance shell"
A237,runtime-lifecycle-fault-isolation-special-law,runtime-lifecycle-fault-isolation-special-law,模型/推論,mixed,UNIT_RUNTIME,permission;permission-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A238,data-authority-storage-rag-special-law,data-authority-storage-rag-special-law,模型/推論,mixed,UNIT_DATA,data-governance-sub-sovereign;decision;decision-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A239,model-resource-gpu-special-law,model-resource-gpu-special-law,模型/推論,mixed,UNIT_ENGINE,automation;automation-sovereign;permission;permission-sovereign;resource-dependency-sync-sub-sovereign,"delegate business content, retain governance shell"
A240,language-source-native-boundary-special-law,language-source-native-boundary-special-law,模型/推論,mixed,UNIT_PLATFORM,permission;permission-sovereign,"delegate business content, retain governance shell"
A241,version-release-hot-update-rollback-special-law,version-release-hot-update-rollback-special-law,資料/SQL,mixed,UNIT_AUTOMATION,automation;automation-sovereign;permission;permission-sovereign;release-update-sync-sub-sovereign,"delegate business content, retain governance shell"
A242,third-party-network-supply-chain-special-law,third-party-network-supply-chain-special-law,模型/推論,mixed,UNIT_PERMISSION,automation;automation-sovereign;dependency-sync-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A243,audit-evidence-timestamp-retention-special-law,audit-evidence-timestamp-retention-special-law,資料/SQL,mixed,UNIT_PERMISSION,decision;decision-sovereign;health-maintenance-test-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A244,ui-window-projection-synchronization-special-law,ui-window-projection-synchronization-special-law,資料/SQL,mixed,BLOCK_TOOLS,permission;permission-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A245,git-worktree-special-law,git-worktree-special-law,資料/SQL,mixed,UNIT_AUTOMATION,automation;automation-sovereign;permission;permission-sovereign;release-update-sync-sub-sovereign,"delegate business content, retain governance shell"
A246,learning-system-special-law,learning-system-special-law,資料/SQL,mixed,UNIT_ENGINE,automation;automation-sovereign;decision;learning-evidence-sync-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A247,automatic-maintenance-repair-special-law,automatic-maintenance-repair-special-law,模型/推論,mixed,UNIT_AUTOMATION,decision;decision-sovereign;health-maintenance-test-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A248,privacy-personal-data-special-law,privacy-personal-data-special-law,模型/推論,mixed,UNIT_DATA,data-governance-sub-sovereign;decision;decision-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A249,cryptography-key-management-special-law,cryptography-key-management-special-law,資料/SQL,mixed,UNIT_PERMISSION,automation;automation-sovereign;permission;permission-sovereign;resource-dependency-sync-sub-sovereign,"delegate business content, retain governance shell"
A25,maintenance-health,sovereignty,資料/SQL,mixed,codex-retained,health-maintenance-test-sub-sovereign,"delegate business content, retain governance shell"
A250,disaster-recovery-continuity-special-law,disaster-recovery-continuity-special-law,模型/推論,mixed,UNIT_AUTOMATION,decision;decision-sovereign;health-maintenance-test-sub-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A251,test-validation-evaluation-special-law,test-validation-evaluation-special-law,時限/預算,mixed,UNIT_PERMISSION,automation;automation-sovereign;permission;permission-sovereign;release-update-sync-sub-sovereign,"delegate business content, retain governance shell"
A252,codex-consolidation-conflict-normalization-and-confidentiality-closure,amendment-and-protection,模型/推論,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A253,special-law-lifecycle-activation-and-external-closure,amendment-and-protection,模型/推論,mixed,codex-retained,decision;domain-sovereign;permission;permission-sovereign,"delegate business content, retain governance shell"
A254,channel-continuity-and-disconnection-elimination-special-law,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,automation;automation-sovereign;channel-contract-sync-sub-sovereign;permission;permission-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A255,ten-second-total-startup-control-special-law,third-party-network-supply-chain-special-law,時限/預算,mixed,UNIT_PERMISSION,decision;permission;runtime-sovereign;startup-sub-sovereign,"delegate business content, retain governance shell"
A256,live-backend-code-change-continuity-special-law,version-release-hot-update-rollback-special-law,模型/推論,mixed,UNIT_AUTOMATION,decision;decision-sovereign;permission;permission-sovereign;release-update-sync-sub-sovereign;runtime-sovereign,"delegate business content, retain governance shell"
A257,reconnect-with-zero-automatic-code-overwrite-special-law,information-communication-special-law,模型/推論,mixed,UNIT_PLATFORM,decision;decision-sovereign;permission;permission-sovereign;release-update-sync-sub-sovereign,"delegate business content, retain governance shell"
A258,automatic-repair-preservation-and-no-overwrite-special-law,information-communication-special-law,模型/推論,mixed,UNIT_PLATFORM,decision;decision-sovereign;health-maintenance-test-sub-sovereign;permission;permission-sovereign;release-update-sync-sub-sovereign,"delegate business content, retain governance shell"
A259,whole-codex-repair-and-continuity-integration,general-provisions,時限/預算,mixed,codex-retained,permission;permission-sovereign,"delegate business content, retain governance shell"
A260,星澄-read-only-view-of-permission-sovereign-directories-special-law,permission-identity-special-law,模型/推論,mixed,UNIT_PERMISSION,permission;permission-sovereign;read-only-view-of-permission-sovereign,"delegate business content, retain governance shell"
A261,automatic-repair-preservation-special-law,automatic-maintenance-repair-special-law,資料/SQL,mixed,UNIT_AUTOMATION,decision;permission,"delegate business content, retain governance shell"
A262,update-and-reload-special-law,version-release-hot-update-rollback-special-law,資料/SQL,mixed,UNIT_AUTOMATION,,"delegate business content, retain governance shell"
A263,channel-stability-and-reconnect-special-law,information-communication-special-law,時限/預算,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A264,programming-language-boundary-special-law,language-source-native-boundary-special-law,資料/SQL,mixed,UNIT_PLATFORM,,"delegate business content, retain governance shell"
A265,startup-control-special-law,startup-control-special-law,時限/預算,mixed,UNIT_BOOTSTRAP,,"delegate business content, retain governance shell"
A266,independent-tool-lifecycle-isolation-special-law,independent-tool-lifecycle-isolation-special-law,時限/預算,mixed,BLOCK_TOOLS,permission,"delegate business content, retain governance shell"
A267,identity-group-special-law,identity-group-membership-and-authority-special-law,模型/推論,mixed,UNIT_PERMISSION,decision;permission;permission-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A268,directory-codename-reference-and-environment-indirection-special-law,directory-special-law,時限/預算,mixed,UNIT_PERMISSION,decision;permission;permission-sovereign,"delegate business content, retain governance shell"
A269,global-fault-code-reference-and-no-hardcoded-error-special-law,directory-special-law,時限/預算,mixed,UNIT_PERMISSION,permission,"delegate business content, retain governance shell"
A270,directory-coverage-and-special-law-convergence,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,,"delegate business content, retain governance shell"
A271,coverage-test-and-special-law-conflict-closure,test-validation-evaluation-special-law,時限/預算,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A272,exact-code-trace-and-activation-evidence-closure,test-validation-evaluation-special-law,模型/推論,mixed,UNIT_PERMISSION,,"delegate business content, retain governance shell"
A273,complete-global-registry-traceability-and-routing,test-validation-evaluation-special-law,時限/預算,mixed,UNIT_PERMISSION,permission,"delegate business content, retain governance shell"
A274,complete-command-contract-and-sovereign-effectivity-closure,directory-special-law,時限/預算,mixed,UNIT_PERMISSION,active-sovereign;complete-command-contract-and-sovereign;permission,"delegate business content, retain governance shell"
A275,complete-seal-timestamp-trust-and-component-evidence,test-validation-evaluation-special-law,資料/SQL,mixed,UNIT_PERMISSION,,"delegate business content, retain governance shell"
A276,main-system-platform-core-physical-directory-classification,directory-special-law,資料/SQL,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A277,model-dialogue-local-model-top-level-directory-classification,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,,"delegate business content, retain governance shell"
A278,standalone-tools-top-level-directory-classification,directory-special-law,資料/SQL,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A279,governance-codex-codex-directory-classification,directory-special-law,資料/SQL,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A28,runtime,sovereignty,流程/程序,mixed,codex-retained,system-runtime;system-runtime-sub-sovereign,"delegate business content, retain governance shell"
A280,canonical-top-level-directory-integration-and-system-tool-convergence,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,permission;permission-sovereign,"delegate business content, retain governance shell"
A281,git-top-level-directory-classification,directory-special-law,資料/SQL,mixed,UNIT_PERMISSION,,"delegate business content, retain governance shell"
A282,launcher-convergence-into-main-system,directory-special-law,模型/推論,mixed,UNIT_PERMISSION,decision;runtime-sovereign;startup-sub-sovereign;system-runtime,"delegate business content, retain governance shell"
A283,shared-layer-convergence-into-main-system,directory-special-law,資料/SQL,mixed,UNIT_PERMISSION,,"delegate business content, retain governance shell"
A284,gptbridge-canonical-layered-project-architecture,system-responsibility,模型/推論,mixed,UNIT_RUNTIME,automation;automation-sovereign;decision;decision-sovereign;module-sovereign;permission;permission-sovereign;runtime-sovereign;sub-sovereign,"delegate business content, retain governance shell"
A285,human-governor-manual-version-baseline-reset,general-provisions,安全與稽核,mixed,codex-retained,permission,"delegate business content, retain governance shell"
A286,version-epoch-identity-and-natural-evolution,general-provisions,安全與稽核,governance,codex-retained,,retain in codex (governance/boundary)
