[2026-05-25 07:01:46] [self_check] core_build_check: npm run build:app, result=OK
[2026-05-25 17:39:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:39:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:40:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:40:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:41:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:41:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:42:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:42:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:43:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:43:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:44:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:44:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:45:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:45:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:46:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:46:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:47:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:47:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:48:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:48:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:49:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:49:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:50:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:50:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:51:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:51:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:52:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:52:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:53:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:53:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:54:10] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 17:54:40] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:03:04] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:03:41] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:04:18] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:04:56] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:05:33] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:06:10] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:06:47] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:07:24] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:08:01] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:08:38] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:09:15] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:09:52] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:10:29] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:11:06] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:11:43] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:12:21] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:12:58] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:13:35] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:14:12] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:14:49] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:15:26] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:16:03] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:16:40] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:17:17] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:17:54] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:18:31] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:19:08] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:19:45] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:20:22] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:21:00] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:21:37] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:22:14] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:22:51] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:23:28] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:24:05] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:24:42] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:25:19] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:25:56] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:26:33] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:27:10] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:27:47] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:28:24] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:29:01] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:29:39] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:30:16] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:30:53] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:31:30] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:32:07] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:32:44] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:33:21] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:33:58] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:34:35] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:35:12] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:35:49] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:36:26] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:37:03] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:37:41] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:38:18] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:38:55] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:39:32] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:40:09] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:40:46] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:41:23] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:42:00] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:42:37] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:43:14] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:43:51] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:44:28] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:45:05] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:45:43] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:46:20] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:46:57] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:47:34] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:48:11] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:48:48] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:49:25] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:50:02] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:50:32] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:51:02] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:51:32] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:52:02] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:52:32] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:53:02] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:53:32] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:54:02] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:54:32] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:55:02] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:55:32] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:56:02] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:56:32] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:57:02] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:57:32] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:58:02] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 19:58:39] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:59:16] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 19:59:46] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:07:27] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:13:07] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:13:44] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:14:21] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:14:58] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:15:35] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:16:12] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:16:49] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:17:26] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:18:03] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:18:40] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:19:17] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:19:54] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:20:31] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:21:09] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:21:46] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:22:23] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:23:00] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:23:37] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:24:14] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:24:51] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:25:28] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:26:05] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:26:42] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:27:19] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:27:56] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:28:33] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:29:11] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:29:48] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:30:25] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:31:02] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:31:39] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:32:16] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:32:53] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:33:30] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:42:15] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:42:53] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:43:30] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:44:07] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:44:44] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:45:22] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:45:59] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:46:36] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:47:14] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:47:51] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:48:29] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:49:07] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:49:44] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:50:21] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:50:58] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:51:36] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:52:13] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:52:50] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:53:28] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:54:05] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:54:42] Provider monitor: ChatGPT=AUTHENTICATED, Gemini=AUTHENTICATED
[2026-05-25 23:55:12] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:55:42] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:56:12] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:56:42] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:57:12] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:57:42] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:58:12] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:58:42] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:59:12] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
[2026-05-25 23:59:42] Provider monitor: ChatGPT=UNOPENED, Gemini=UNOPENED
